ID,Cohort,Gender
1,2324FT,F
2,2324FT,F
3,2324FT,F
4,2324FT,F
5,2324FT,M
6,2324FT,F
7,2324FT,F
8,2324FT,F
9,2324FT,F
10,2324FT,F
11,2324FT,M
12,2324FT,F
13,2324FT,M
14,2324FT,F
15,2324FT,F
16,2324FT,M
17,2324FT,F
18,2324FT,F
19,2324FT,F
20,2324FT,F
21,2324FT,F
22,2324FT,F
23,2324FT,F
24,2324FT,F
25,2324FT,F
26,2324FT,F
27,2324FT,F
28,2324FT,F
29,2324FT,F
30,2324FT,F
31,2324FT,F
32,2324FT,F
33,2324FT,F
34,2324FT,F
35,2324FT,F
36,2324FT,F
37,2324FT,F
38,2324FT,F
39,2324FT,F
40,2324FT,F
41,2324FT,F
42,2324FT,F
43,2324FT,F
44,2324FT,F
45,2324FT,F
46,2324FT,F
47,2324FT,F
48,2324FT,F
49,2324FT,F
50,2324FT,F
51,2324FT,F
52,2324FT,F
53,2324FT,F
54,2324FT,F
55,2324FT,F
56,2324FT,F
57,2324FT,M
58,2324FT,F
59,2324FT,F
60,2324FT,F
61,2324FT,M
62,2324FT,F
63,2324FT,F
64,2324FT,F
65,2324FT,F
66,2324FT,F
67,2324FT,M
68,2324FT,F
69,2324FT,F
70,2324FT,F
71,2324FT,M
72,2324FT,F
73,2324FT,F
74,2324FT,F
75,2324FT,F
76,2324FT,F
77,2324FT,F
78,2324FT,F
79,2324FT,F
80,2324FT,F
81,2324FT,F
82,2324FT,F
83,2324FT,F
84,2324FT,F
85,2324FT,F
86,2324FT,F
87,2324FT,M
88,2324FT,F
89,2324FT,F
90,2324FT,F
91,2324FT,F
92,2324FT,F
93,2324FT,F
94,2324FT,M
95,2324FT,F
96,2324FT,M
97,2324FT,F
98,2324FT,F
99,2324FT,F
100,2324FT,F
101,2324FT,F
102,2324FT,F
103,2324FT,F
104,2324FT,F
105,2324FT,F
106,2324FT,F
107,2324FT,F
108,2324FT,F
109,2324FT,F
110,2324FT,F
111,2324FT,F
112,2324FT,F
113,2324FT,F
114,2324FT,M
115,2324FT,F
116,2324FT,F
117,2324FT,F
118,2324FT,F
119,2324FT,F
120,2324FT,M
121,2324FT,F
122,2324FT,M
123,2324FT,F
124,2324FT,F
125,2324FT,F
126,2324FT,F
127,2324FT,F
128,2324FT,M
129,2324FT,F
130,2324FT,F
131,2324FT,F
132,2324FT,F
133,2324FT,F
134,2324FT,M
135,2324FT,F
136,2324FT,F
137,2325PT,F
138,2325PT,F
139,2325PT,F
140,2325PT,F
141,2325PT,F
142,2325PT,F
143,2325PT,F
144,2325PT,F
145,2325PT,F
146,2325PT,F
147,2325PT,M
148,2325PT,F
149,2325PT,F
150,2325PT,F
151,2325PT,F
152,2224PT,F
153,2224PT,M
154,2224PT,F
155,2224PT,F
156,2224PT,F
157,2224PT,M
158,2224PT,M
159,2224PT,F
160,2224PT,F
161,2224PT,M
162,2224PT,M
163,2224PT,F
164,2223FT,F
165,2223FT,F
166,2223FT,F
167,2223FT,F
168,2223FT,F
169,2223FT,F
170,2223FT,F
171,2223FT,F
172,2223FT,F
173,2223FT,F
174,2223FT,F
175,2223FT,F
176,2223FT,F
177,2223FT,F
178,2223FT,F
179,2223FT,F
180,2223FT,F
181,2223FT,F
182,2223FT,M
183,2223FT,F
184,2223FT,F
185,2223FT,M
186,2223FT,F
187,2223FT,F
188,2223FT,M
189,2223FT,F
190,2223FT,F
191,2223FT,F
192,2223FT,F
193,2223FT,F
194,2223FT,F
195,2223FT,F
196,2223FT,F
197,2223FT,F
198,2223FT,F
199,2223FT,F
200,2223FT,F
201,2223FT,F
202,2223FT,F
203,2223FT,F
204,2223FT,F
205,2223FT,F
206,2223FT,F
207,2223FT,F
208,2223FT,M
209,2223FT,M
210,2223FT,F
211,2223FT,M
212,2223FT,F
213,2223FT,F
214,2223FT,M
215,2223FT,F
216,2223FT,F
217,2223FT,F
218,2223FT,F
219,2223FT,F
220,2223FT,F
221,2223FT,F
222,2223FT,F
223,2223FT,F
224,2223FT,F
225,2223FT,M
226,2223FT,F
227,2223FT,F
228,2223FT,F
229,2223FT,F
230,2223FT,M
231,2223FT,F
232,2223FT,F
233,2223FT,M
234,2223FT,F
235,2223FT,F
236,2223FT,F
237,2223FT,F
238,2223FT,F
239,2223FT,F
240,2223FT,F
